ID;ICAO;Name;Country;Active
1;N/A;Private flight;Desconocido;Y
2;GNL;135 Airways;United States;N
3;RNX;1Time Airline;South Africa;Y
4;WYT;2 Sqn No 1 Elementary Flying Training School;United Kingdom;N
5;TFU;213 Flight Unit;Russia;N
6;CHD;223 Flight Unit State Airline;Russia;N
7;TTF;224th Flight Unit;Russia;N
8;TWF;247 Jet Ltd;United Kingdom;N
9;SEC;3D Aviation;United States;N
10;MLA;40-Mile Air;United States;Y
11;QRT;4D Air;Thailand;N
12;THD;611897 Alberta Limited;Canada;N
13;AAA;Ansett Australia;Australia;Y
15;AAB;Abelag Aviation;Belgium;N
16;AAC;Army Air Corps;United Kingdom;N
17;AAD;Aero Aviation Centre Ltd.;Canada;N
18;SII;Aero Servicios Ejecutivos Internacionales;Mexico;N
19;BZS;Aero Biniza;Mexico;N
20;ABM;Aero Albatros;Spain;N
21;AAF;Aigle Azur;France;Y
22;AAH;Aloha Airlines;United States;Y
23;AAK;Alaska Island Air;United States;N
24;AAL;American Airlines;United States;Y
25;AAM;Aviation Management Corporation;United States;N
26;AAO;Atlantis Airlines (USA);United States;N
27;AAP;Aerovista Airlines;United Arab Emirates;N
28;AAR;Asiana Airlines;Republic of Korea;Y
29;AAS;Askari Aviation;Pakistan;Y
30;AAU;Australia Asia Airlines;Australia;N
31;AAV;Astro Air International;United States;N
32;AAW;Afriqiyah Airways;Libya;Y
33;AFU;Afrinat International Airlines;Gambia;N
34;AAX;Afric'air Express;Ivory Coast;N
35;AAY;Allegiant Air;United States;Y
36;AAZ;Angus Aviation;Canada;N
37;ABA;Artem-Avia;Ukraine;N
38;ABB;African Business and Transportations;Democratic Republic of the Congo;N
39;ABE;Aban Air;Iran;n
40;ABF;Aerial Oy;Finland;N
41;ABG;Abakan-Avia;Russia;N
42;TUS;ABSA - Aerolinhas Brasileiras;Brazil;Y
43;ABJ;Abaet;Brazil;N
44;ABK;Alberta Citylink;Canada;N
45;ABO;APSA Colombia;Colombia;N
46;ABU;Aerovias Bueno;Colombia;N
