flightNumber;dep_airport_code;arr_airport_code;plane;dep_weather_desc;dep_date
HTY134;AEI;JCU;AWH;Chubascos dispersos;13/04/18
HTY110;JCU;AEI;AWH;Lluvia;13/04/18
HTY112;AEI;JCU;AWH;Chubascos dispersos;13/04/18
HTY114;AEI;JCU;AWH;Chubascos dispersos;13/04/18
HTY138;AEI;JCU;AWH;Chubascos dispersos;13/04/18
HTY133;JCU;AEI;AWH;Lluvia;13/04/18
HTY109;JCU;AEI;AWH;Lluvia;13/04/18
HTY111;JCU;AEI;AWH;Lluvia;13/04/18
HTY113;JCU;AEI;AWH;Lluvia;13/04/18
HTY137;JCU;AEI;AWH;Lluvia;13/04/18
IBE0519;LCG;MAD;AIRBUS A319;Chubascos dispersos;13/04/18
TAP1085;LCG;LIS;ATR-42/72;Chubascos dispersos;13/04/18
AEA7234;LCG;MAD;EMBRAER ERJ-195;Chubascos dispersos;13/04/18
IBE0513;LCG;MAD;AIRBUS A320;Chubascos dispersos;13/04/18
VLG1274;LCG;VLC;32A;Chubascos dispersos;13/04/18
VLG1298;LCG;SVQ;AIRBUS A320;Chubascos dispersos;13/04/18
AEA7236;LCG;MAD;EMBRAER ERJ-195;Chubascos dispersos;13/04/18
IBE0523;LCG;MAD;AIRBUS A320;Chubascos dispersos;13/04/18
VLG1295;LCG;BCN;AIRBUS A320;Chubascos dispersos;13/04/18
VLG7104;LCG;LHR;AIRBUS A320;Chubascos dispersos;13/04/18
LZF440;BIO;LCG;ATR 42-300/320;Lluvia;13/04/18
AEA7238;LCG;MAD;EMBRAER ERJ-195;Chubascos dispersos;13/04/18
VLG1303;ALC;BCN;32A;Nubosidad variable;13/04/18
AEA4025;ALC;PMI;ATR-72;Nubosidad variable;13/04/18
RYR4019;ALC;CPH;BOEING 737-800 WINGLETS;Nubosidad variable;13/04/18
RYR8287;ALC;BRS;BOEING 737-800 WINGLETS;Nubosidad variable;13/04/18
BEL3772;ALC;BRU;AIRBUS A320;Nubosidad variable;13/04/18
JAF5358;ALC;BRU;7M8;Nubosidad variable;13/04/18
EWG9533;ALC;DUS;32A;Nubosidad variable;13/04/18
IBK5414;ALC;DUS;BOEING 737-800 WINGLETS;Nubosidad variable;13/04/18
ANE8391;ALC;MAD;BOMBARDIER CRJ-1000;Nubosidad variable;13/04/18
JAF5842;ALC;CRL;BOEING 737-700 WINGLETS;Nubosidad variable;13/04/18
EZY8660;ALC;LGW;AIRBUS A319;Nubosidad variable;13/04/18
