airline;airport_orig;airport_dest
ARD;AER;KZN
ARD;ASF;KZN
ARD;ASF;MRV
ARD;CEK;KZN
ARD;CEK;OVB
ARD;DME;KZN
ARD;DME;NBC
ARD;DME;TGK
ARD;DME;UUA
ARD;EGO;KGD
ARD;EGO;KZN
ARD;GYD;NBC
ARD;KGD;EGO
ARD;KZN;AER
ARD;KZN;ASF
ARD;KZN;CEK
ARD;KZN;DME
ARD;KZN;EGO
ARD;KZN;LED
ARD;KZN;SVX
ARD;LED;KZN
ARD;LED;NBC
ARD;LED;UUA
ARD;MRV;ASF
ARD;NBC;DME
ARD;NBC;GYD
ARD;NBC;LED
ARD;NBC;SVX
ARD;NJC;SVX
ARD;NJC;UUA
ARD;NUX;SVX
ARD;OVB;CEK
ARD;OVB;SVX
ARD;SVX;KZN
ARD;SVX;NBC
ARD;SVX;NJC
ARD;SVX;NUX
ARD;SVX;OVB
ARD;TGK;DME
ARD;UUA;DME
ARD;UUA;LED
ARD;UUA;NJC
CRG;BTK;IKT
CRG;BTK;OVB
CRG;CEK;OVB
CRG;HTA;IKT
CRG;IKT;BTK
CRG;IKT;HTA
CRG;IKT;KCK
CRG;IKT;ODO
CRG;IKT;OVB
CRG;IKT;UKX
CRG;IKT;ULK
CRG;IKT;YKS
CRG;KCK;IKT
CRG;MJZ;OVB
CRG;ODO;IKT
CRG;OVB;BTK
CRG;OVB;CEK
CRG;OVB;IKT
CRG;UKX;IKT
CRG;ULK;IKT
CRG;YKS;IKT
VBW;ABJ;BOY
VBW;ABJ;OUA
VBW;ACC;OUA
VBW;BKO;ABJ
VBW;BKO;DKR
VBW;BKO;OUA
VBW;BOY;ABJ
VBW;BOY;OUA
VBW;COO;LFW
VBW;COO;OUA
VBW;DKR;BKO
VBW;DKR;OUA
VBW;LFW;OUA
VBW;NIM;OUA
VBW;OUA;ABJ
VBW;OUA;ACC
VBW;OUA;BKO
VBW;OUA;BOY
VBW;OUA;COO
VBW;OUA;DKR
VBW;OUA;LFW
VBW;OUA;NIM
GLG;BOG;GYE
GLG;BOG;UIO
GLG;CLO;GYE
GLG;GYE;BOG
GLG;GYE;CLO
GLG;GYE;SCY
GLG;GYE;UIO
GLG;OCC;UIO
GLG;SCY;GYE
GLG;UIO;BOG
GLG;UIO;GYE
GLG;UIO;OCC
OAW;BDS;ZRH
OAW;BOD;ZRH
OAW;BRS;ZRH
OAW;GVA;LPA
OAW;LCA;ZRH
OAW;LPA;ZRH
OAW;RMF;ZRH
OAW;TFS;GVA
OAW;ZRH;BDS
OAW;ZRH;BOD
OAW;ZRH;BRS
OAW;ZRH;LCA
OAW;ZRH;LPA
OAW;ZRH;RMF
NTJ;AJR;LYC
NTJ;ARN;GEV
NTJ;ARN;HAD
NTJ;ARN;JKG
NTJ;ARN;KRF
NTJ;ARN;KSD
NTJ;ARN;LYC
NTJ;ARN;MHQ
NTJ;ARN;OER
NTJ;ARN;POR
NTJ;ARN;TRF
NTJ;ARN;VBY
NTJ;ARN;VHM
NTJ;ARN;VXO
NTJ;GEV;ARN
NTJ;GEV;KRF
NTJ;HAD;ARN
NTJ;HAD;JKG
